event,league,date,event_location_country,fighter_1,fighter_2,winner,match_arm,f1_age,f2_age,f1_style_dominant,f1_style_additional,f2_style_dominant,f2_style_additional,f1_weight,f2_weight,weight_advantage,f1_height,f2_height,height_advantage,f1_country,f2_country,f1_travel_penalty,f2_travel_penalty,domestic_advantage,travel_type,label,f1_style_combo_success_percent,f2_style_combo_success_percent,athlete1_style_advantage_rate,f1_gender,f2_gender,f1_is_current_title_holder,f2_is_current_title_holder,f1_days_from_last_match,f2_days_from_last_match,f1_low_rank_predictions,f1_high_rank_predictions,f2_low_rank_predictions,f2_high_rank_predictions,f1_all_rank_predictions,f2_all_rank_predictions,f1_left_winning_streak,f1_right_winning_streak,f1_winrate_last_5,f2_left_winning_streak,f2_right_winning_streak,f2_winrate_last_5,f1_domestic_win_rate,f1_transatlantic_win_rate,f2_domestic_win_rate,f2_transatlantic_win_rate,num_shared_opponents_value,mma_math_positive,mma_math_negative,has_head_to_head,head_to_head_result,second_order_mma_math_difference,second_order_mma_math_positive,second_order_mma_math_negative
East vs West 18,EvW,"June 21, 2025",USA,Riekerd Bornman,Wallace Dilley,Riekerd Bornman,Right,21,46,Toproll,Hook,King's Move,Hook,122.0,140.0,-18.0,191.0,190.0,1.0,South Africa,USA,1,0,-1,transatlantic,1,53.4,16.7,100.0,male,male,False,False,0,0,2,0,1,1,3,3,0,0,0.0,0,0,0.0,0.5,1.0,0.5,0.0,0,0,0,0,0,0,0,0
East vs West 18,EvW,"June 21, 2025",USA,Ryan Belanger,Allen Ford,Ryan Belanger,Right,41,22,Hook,Press,Toproll,Hook,141.0,130.0,11.0,190.5,190.5,0.0,Canada,Canada,0,0,0,domestic,1,37.2,53.4,40.4,male,male,False,False,315,0,1,0,0,0,2,0,0,0,0.0,0,0,0.0,1.0,1.0,0.0,0.5,0,0,0,0,0,0,0,0
East vs West 18,EvW,"June 21, 2025",USA,Joseph Meranto,Ivan Portela,Joseph Meranto,Right,23,45,Toproll,,Toproll,Hook,70.0,70.0,0.0,173.0,170.0,3.0,USA,Spain,0,1,1,transatlantic,1,50.0,53.4,50.0,male,male,False,False,84,0,1,1,0,0,2,1,0,2,1.0,0,0,0.0,1.0,1.0,0.5,0.0,0,0,0,0,0,0,0,0
East vs West 18,EvW,"June 21, 2025",USA,Pavlo Derbedyenyev,Wagner Bortalato,Pavlo Derbedyenyev,Left,44,44,Toproll,Hook,Hook,,120.0,151.0,-31.0,185.0,188.0,-3.0,Ukraine,Brazil,1,0,-1,transatlantic,1,53.4,42.9,59.6,male,male,False,False,693,0,0,0,0,2,0,2,0,-2,0.0,0,0,0.0,0.0,1.0,0.5,0.0,0,0,0,0,0,0,0,0
East vs West 18,EvW,"June 21, 2025",USA,Devon Larratt,Alex Kurdecha,Devon Larratt,Left,50,36,Toproll,King's Move,Toproll,Press,120.0,150.0,-30.0,196.0,201.0,-5.0,Canada,Poland,0,1,1,transatlantic,1,80.0,58.5,50.0,male,male,False,False,84,126,8,6,3,0,20,7,2,5,1.0,-2,0,0.4,1.0,0.7,0.25,0.25,0,0,0,0,0,0,0,0
East vs West 18,EvW,"June 21, 2025",USA,Paul Linn,Arsen Khachatryan,Paul Linn,Right,44,27,Side,Hook,Toproll,Hook,95.0,95.0,0.0,183.0,185.0,-2.0,USA,Russia,0,1,1,transatlantic,1,47.4,53.4,42.9,male,male,False,False,42,84,5,1,1,0,8,4,0,0,0.6,0,0,0.0,0.5,0.636,1.0,0.0,0,0,0,0,0,0,0,0
East vs West 18,EvW,"June 21, 2025",USA,Matt Mask,Irakli Zirakashvili,Matt Mask,Left,43,27,Toproll,Hook,Toproll,Press,114.0,95.0,19.0,196.0,190.0,6.0,Canada,Georgia,0,1,1,transatlantic,1,53.4,58.5,50.0,male,male,False,False,42,231,5,2,4,1,10,8,0,0,0.8,0,5,1.0,1.0,0.333,0.75,0.5,0,0,0,0,0,0,0,0
East vs West 18,EvW,"June 21, 2025",USA,Michael Todd,Georgii Dzeranov,Michael Todd,Right,51,38,King's Move,Side,Hook,Side,105.0,123.0,-18.0,191.0,190.0,1.0,USA,Kazakhstan,0,1,1,transatlantic,1,45.5,44.2,40.0,male,male,False,False,42,42,5,3,3,0,8,7,0,-2,0.6,0,0,0.6,0.0,0.5,0.667,0.5,0,1,1,0,0,13,18,5
East vs West 18,EvW,"June 21, 2025",USA,Fia Reisek,Elin Janeheim,Fia Reisek,Right,40,23,Toproll,,Toproll,Hook,71.0,70.0,1.0,170.0,169.0,1.0,Sweden,Sweden,1,1,0,domestic,1,50.0,53.4,50.0,male,male,True,False,126,0,2,0,0,0,3,0,0,3,1.0,0,0,0.0,1.0,1.0,0.0,0.5,0,0,0,0,0,0,0,0
East vs West 18,EvW,"June 21, 2025",USA,Artyom Morozov,Alex Kurdecha,Artyom Morozov,Right,27,36,Toproll,Hook,Toproll,Press,142.0,150.0,-8.0,195.0,201.0,-6.0,Kazakhstan,Poland,1,1,0,domestic,1,53.4,58.5,50.0,male,male,False,False,266,126,6,3,3,0,12,7,7,0,0.6,-2,0,0.4,0.636,1.0,0.25,0.25,0,1,1,1,1,1,10,9
